part_number,description_en,description_es,hs_code,ice_exempt,ice_exempt_reason,unit_weight,quantity,unit_price_fob
COMP001,Laptop Computer,Computadora Portátil,8471300000,false,,2.5,10,800.00
PHONE001,Smartphone,Teléfono Inteligente,8517120029,false,,0.2,50,300.00
CAR001,Sedan Car,Automóvil Sedán,8517120022,false,,1200.0,2,25000.00
CAR002,Luxury Car,Automóvil de Lujo,8703210099,false,,1500.0,1,45000.00
MEAT001,Beef Fresh,Carne de Res Fresca,0201200000,false,,1.0,100,15.50
MEAT002,Beef Frozen,Carne de Res Congelada,0202200000,false,,1.0,150,12.80
MILK001,Fresh Milk,Leche Fresca,0401100000,false,,1.0,200,2.50
MILK002,Cream,Nata,0401500000,false,,1.0,50,8.50
HORSE001,Pure-bred Horse,Caballo de Raza Pura,0101210000,false,,450.0,1,5000.00
BEVERAGE001,Soft Drink,Bebida Gaseosa,2202100000,false,,0.5,500,1.20
CIGARETTE001,Cigarettes,Cigarrillos,2402202000,false,,0.02,1000,0.50
ALCOHOL001,Whisky,Whisky,2208202990,false,,0.75,20,45.00
EXEMPT001,Medical Equipment,Equipo Médico,9018909000,true,Medical exemption under health regulations,5.0,5,1200.00
EXEMPT002,Electric Vehicle,Vehículo Eléctrico,8703801090,true,Environmental exemption for electric vehicles,1800.0,1,35000.00
REAL001,Live Horses,Caballos Vivos,0101900000,false,,450.0,2,3500.00
REAL002,Bovine Meat,Carne Bovina,0201100000,false,,1.0,200,18.50
REAL003,Frozen Fish,Pescado Congelado,0303110000,false,,1.0,100,12.00
REAL004,Coffee Beans,Granos de Café,0901119090,false,,1.0,500,8.50
REAL005,Wheat Flour,Harina de Trigo,1101000000,false,,1.0,1000,1.80
REAL006,Sugar,Azúcar,1701140000,false,,1.0,800,2.20
REAL007,Chocolate,Chocolate,1806900000,false,,0.5,200,15.00
REAL008,Textiles,Textiles,5208110000,false,,0.3,300,12.50
REAL009,Steel Products,Productos de Acero,7208371000,false,,10.0,50,850.00
REAL010,Machinery Parts,Partes de Maquinaria,8409919900,false,,2.0,25,450.00
